QBS;Công ty Cổ phần Xuất Nhập khẩu Quảng Bình;Nguyên vật liệu;0
RDP;Công ty Cổ phần Rạng Đông Holding;Nguyên vật liệu;0
SFG;Công ty Cổ phần Phân bón Miền Nam;Nguyên vật liệu;0
SMC;Công ty Cổ phần Đầu tư Thương mại SMC;Nguyên vật liệu;0
SVI;Công ty Cổ phần Bao bì Biên Hòa;Nguyên vật liệu;0
TLD;Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Thăng Long;Nguyên vật liệu;0
TLH;Công ty Cổ phần Tập đoàn Thép Tiến Lên;Nguyên vật liệu;0
TNT;Công ty Cổ phần Tài Nguyên;Nguyên vật liệu;0
TPC;Công ty Cổ phần Nhựa Tân Đại Hưng;Nguyên vật liệu;0
TTB;Công ty Cổ phần Tập đoàn Tiến Bộ;Nguyên vật liệu;0
THG;Công ty Cổ phần Đầu tư và Xây dựng Tiền Giang;Nguyên vật liệu;0
TRC;Công ty Cổ phần Cao su Tây Ninh;Nguyên vật liệu;0
VAF;Công ty Cổ phần Phân lân Nung chảy Văn Điển;Nguyên vật liệu;0
VFG;Công ty Cổ phần Khử trùng Việt Nam;Nguyên vật liệu;0
VID;Công ty Cổ phần Đầu tư Phát triển Thương mại Viễn Đông;Nguyên vật liệu;0
VIS;Công ty Cổ phần Thép Việt - Ý;Nguyên vật liệu;0
VPS;Công ty Cổ phần Thuốc sát trùng Việt Nam;Nguyên vật liệu;0
ABS;Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận;Khác;0
ACB;Ngân hàng Thương mại Cổ phần Á Châu;Khác;0
APH;Công ty Cổ phần Tập đoàn An Phát Holdings;Khác;0
ASG;Công ty Cổ phần Tập đoàn ASG;Khác;0
BCM;Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP;Khác;0
CLL;Công ty Cổ phần Cảng Cát Lái;Khác;0
DC4;Công ty Cổ phần Xây dựng DIC Holdings;Khác;0
DCL;Công ty Cổ phần Dược phẩm Cửu Long;Khác;0
GVR;Tập đoàn Công nghiệp Cao su Việt Nam - Công ty Cổ phần;Khác;0
HSL;Công ty Cổ phần Đầu tư Phát triển Thực phẩm Hồng Hà;Khác;0
ICT;Công ty Cổ phần Viễn thông - Tin học Bưu điện;Khác;0
LPB;Ngân hàng Thương mại Cổ phần Bưu điện Liên Việt;Khác;0
MSB;Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam;Khác;0
NHH;Công ty Cổ phần Nhựa Hà Nội;Khác;0
PMG;Công ty Cổ phần Đầu tư và Sản xuất Petro Miền Trung;Khác;0
PSH;Công ty Cổ phần Thương mại Đầu tư Dầu khí Nam Sông Hậu;Khác;0
TDG;Công ty Cổ phần Dầu khí Thái Dương;Khác;0
TDP;Công ty Cổ phần Thuận Đức;Khác;0
TNI;Công ty Cổ phần Tập đoàn Thành Nam;Khác;0
TTA;Công ty Cổ phần Đầu tư Xây dựng và Phát triển Trường Thành;Khác;0
VCG;Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam;Khác;0
VIB;Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam;Khác;0
YBM;Công ty Cổ phần Khoáng sản Công nghiệp Yên Bái;Khác;0
AGG;Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia;Bất động sản;0
ASM;Công ty Cổ phần Tập đoàn Sao Mai;Bất động sản;0
CCL;Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long;Bất động sản;0
CIG;Công ty Cổ phần COMA18;Bất động sản;0
CLC;Công ty Cổ phần Cát Lợi;Bất động sản;0
CRE;Công ty Cổ phần Bất động sản Thế Kỷ;Bất động sản;0
D2D;Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2;Bất động sản;0
DRH;Công ty Cổ phần DRH Holdings;Bất động sản;0
DTA;Công ty Cổ phần Đệ Tam;Bất động sản;0
DXG;Công ty Cổ phần Tập đoàn Đất Xanh;Bất động sản;0
FDC;Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh;Bất động sản;0
FIR;Công ty Cổ phần Địa ốc First Real;Bất động sản;0
FLC;Công ty Cổ phần Tập đoàn FLC;Bất động sản;0
HAR;Công ty Cổ phần Đầu tư Thương mại Bất động sản An Dương Thảo Điền;Bất động sản;0
HDC;Công ty Cổ phần Phát triển nhà Bà Rịa – Vũng Tàu;Bất động sản;0
HPX;Công ty Cổ phần Đầu tư Hải Phát;Bất động sản;0
HQC;Công ty Cổ phần Tư vấn – Thương mại – Dịch vụ Địa ốc Hoàng Quân;Bất động sản;0
HTN;Công ty Cổ phần Hưng Thịnh Incons;Bất động sản;0
ITC;Công ty Cổ phần Đầu tư - Kinh doanh Nhà;Bất động sản;0
KBC;Tổng Công ty Phát triển Đô Thị Kinh Bắc – Công ty Cổ phần;Bất động sản;0
KDH;Công ty Cổ phần Đầu tư và Kinh doanh Nhà Khang Điền;Bất động sản;1
KOS;Công ty Cổ phần KOSY;Bất động sản;0
LDG;Công ty Cổ phần Đầu tư LDG;Bất động sản;0
